"distribution","density_fun","dist_density","no_of_parameters","default_location","default_scale","default_skewness","default_kurtosis","default_binomial_denominators","discrete_flag","dist_type"
"Beta Binomial","dBB","Beta Binomial - dBB",2,0.5,1,NA,NA,10,1,"discrete"
"Box-Cox Cole and Green","dBCCG","Box-Cox Cole and Green - dBCCG",3,1,0.1,1,NA,NA,0,"continuous"
"Box-Cox Cole and Green","dBCCGo","Box-Cox Cole and Green - dBCCGo",3,1,0.1,1,NA,NA,0,"continuous"
"Box-Cox Power Exponential","dBCPE","Box-Cox Power Exponential - dBCPE",4,5,0.1,1,2,NA,0,"continuous"
"Box-Cox Power Exponential","dBCPEo","Box-Cox Power Exponential - dBCPEo",3,5,0.1,1,2,NA,0,"continuous"
"Box-Cox-t","dBCT","Box-Cox-t - dBCT",4,5,0.1,1,2,NA,0,"continuous"
"Box-Cox-t","dBCTo","Box-Cox-t - dBCTo",3,5,0.1,1,2,NA,0,"continuous"
"Beta","dBE","Beta - dBE",2,0.5,0.2,NA,NA,NA,0,"continuous"
"Beta inflated","dBEINF","Beta inflated - dBEINF",4,0.5,0.1,0.1,0.1,NA,2,"mixed"
"Beta inflated","dBEINF0","Beta inflated - dBEINF0",3,0.5,0.1,0.1,NA,NA,2,"mixed"
"Beta inflated","dBEINF1","Beta inflated - dBEINF1",3,0.5,0.1,0.1,NA,NA,2,"mixed"
"Beta","dBEo","Beta - dBEo",2,0.5,0.2,NA,NA,NA,0,"continuous"
"Beta one inflated","dBEOI","Beta one inflated - dBEOI",3,0.5,1,0.1,NA,NA,2,"mixed"
"Beta zero inflated","dBEZI","Beta zero inflated - dBEZI",3,0.5,1,0.1,NA,NA,2,"mixed"
"Binomial","dBI","Binomial - dBI",1,0.5,NA,NA,NA,1,1,"discrete"
"Beta negative binomial","dBNB","Beta negative binomial - dBNB",3,1,1,1,NA,NA,1,"discrete"
"Double binomial","dDBI","Double binomial - dDBI",2,0.5,1,NA,NA,2,0,"continuous"
"Delaport","dDEL","Delaport - dDEL",3,1,1,0.5,NA,NA,1,"discrete"
"Double Poisson","dDPO","Double Poisson - dDPO",2,1,1,NA,NA,NA,1,"discrete"
"Exponential generalized Beta type 2","dEGB2","Exponential generalized Beta type 2 - dEGB2",4,0,1,1,0.5,NA,0,"continuous"
"Exponential Gaussian","dexGAUS","Exponential Gaussian - dexGAUS",3,5,1,1,NA,NA,0,"continuous"
"Exponential","dEXP","Exponential - dEXP",1,1,NA,NA,NA,NA,0,"continuous"
"Gamma","dGA","Gamma - dGA",2,1,1,NA,NA,NA,0,"continuous"
"Generalized Beta type 1","dGB1","Generalized Beta type 1 - dGB1",4,0.5,0.4,1,1,NA,0,"continuous"
