"distribution";"density_fun";"dist_density";"no_of_parameters";"default_location";"default_scale";"default_skewness";"default_kurtosis";"default_binomial_denominator";"discrete_flag";"dist_type";"location_lower_condition";"location_upper_condition";"scale_lower_condition";"scale_upper_condition";"skewness_lower_condition";"skewness_upper_condition";"kurtosis_lower_condition";"kurtosis_upper_condition";"x_lower_condition";"x_upper_condition";"fun_call";"location_lower_bound";"location_upper_bound";"scale_lower_bound";"scale_upper_bound";"skewness_lower_bound";"skewness_upper_bound";"kurtosis_lower_bound";"kurtosis_upper_bound";"x_lower_bound";"x_upper_bound"
"Beta Binomial";"dBB";"Beta Binomial - dBB";2;0.5;1;NA;NA;10;1;"discrete";"<0";">1";"<=0";NA;NA;NA;NA;NA;"<0";NA;"dBI";0;1;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Cole and Green";"dBCCG";"Box-Cox Cole and Green - dBCCG";3;1;0.1;1;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Cole and Green";"dBCCGo";"Box-Cox Cole and Green - dBCCGo";3;1;0.1;1;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
"Box-Cox Power Exponential";"dBCPE";"Box-Cox Power Exponential - dBCPE";4;5;0.1;1;2;NA;0;"continuous";"<0";NA;"<0";NA;NA;NA;"<0";NA;"<0";NA;NA;0;NA;0;NA;NA;NA;"0";NA;"0";NA
"Box-Cox Power Exponential";"dBCPEo";"Box-Cox Power Exponential - dBCPEo";4;5;0.1;1;2;NA;0;"continuous";"<0";NA;"<0";NA;NA;NA;"<0";NA;"<0";NA;NA;0;NA;0;NA;NA;NA;"0";NA;"0";NA
"Box-Cox-t";"dBCT";"Box-Cox-t - dBCT";4;5;0.1;1;2;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;"<=0";NA;"<0";NA;"dBCCG";1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Box-Cox-t";"dBCTo";"Box-Cox-t - dBCTo";4;5;0.1;1;2;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;"<=0";NA;"<0";NA;"dBCCG";1e-10;NA;1e-10;NA;NA;NA;"1e-10";NA;"0";NA
"Beta";"dBE";"Beta - dBE";2;0.5;0.2;NA;NA;NA;0;"continuous";"<=0";">=1";"<=0";">=1";NA;NA;NA;NA;"<=0";">=1";NA;1e-10;0.9999999;1e-10;0.9999999;NA;NA;NA;NA;"1e-10";0.9999999
"Beta inflated";"dBEINF";"Beta inflated - dBEINF";4;0.5;0.1;0.1;0.1;NA;2;"mixed";"<=0";">=1";"<=0";">=1";"<=0";NA;"<=0";NA;"<0";">1";NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;"1e-10";NA;"0";1
"Beta inflated";"dBEINF0";"Beta inflated - dBEINF0";3;0.5;0.1;0.1;NA;NA;2;"mixed";"<=0";">=1";"<=0";">=1";"<=0";NA;NA;NA;"<0";">1";NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;NA;NA;"0";1
"Beta inflated";"dBEINF1";"Beta inflated - dBEINF1";3;0.5;0.1;0.1;NA;NA;2;"mixed";"<=0";">=1";"<=0";">=1";"<=0";NA;NA;NA;"<=0";">1";NA;1e-10;0.9999999;1e-10;0.9999999;1e-10;NA;NA;NA;"1e-10";1
"Beta";"dBEo";"Beta - dBEo";2;0.5;0.2;NA;NA;NA;0;"continuous";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<=0";">=1";NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"1e-10";0.9999999
"Beta one inflated";"dBEOI";"Beta one inflated - dBEOI";3;0.5;1;0.1;NA;NA;2;"mixed";"<=0";">=1";"<0";NA;"<=0";">=1";NA;NA;"<=0";">1";NA;1e-10;0.9999999;0;NA;1e-10;0.9999999;NA;NA;"1e-10";1
"Beta zero inflated";"dBEZI";"Beta zero inflated - dBEZI";3;0.5;1;0.1;NA;NA;2;"mixed";"<=0";">=1";"<0";NA;"<=0";">=1";NA;NA;"<0";">=1";NA;1e-10;0.9999999;0;NA;1e-10;0.9999999;NA;NA;"0";0.9999999
"Binomial";"dBI";"Binomial - dBI";1;0.5;NA;NA;NA;1;1;"discrete";"<0";">1";NA;NA;NA;NA;NA;NA;"<0";NA;NA;0;1;NA;NA;NA;NA;NA;NA;"0";NA
"Beta negative binomial";"dBNB";"Beta negative binomial - dBNB";3;1;1;1;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;"<=0";NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;1e-10;NA;NA;NA;"0";NA
"Double binomial";"dDBI";"Double binomial - dDBI";2;0.5;1;NA;NA;2;1;"discrete";"<0";">1";"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;0;1;1e-10;NA;NA;NA;NA;NA;"0";NA
"Delaport";"dDEL";"Delaport - dDEL";3;1;1;0.5;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;"<=0";">=1";NA;NA;"<0";NA;"dPO";1e-10;NA;1e-10;NA;1e-10;0.9999999;NA;NA;"0";NA
"Double Poisson";"dDPO";"Double Poisson - dDPO";2;1;1;NA;NA;NA;1;"discrete";"<=0";NA;"<=0";NA;NA;NA;NA;NA;"<0";NA;NA;1e-10;NA;1e-10;NA;NA;NA;NA;NA;"0";NA
